date,id,type,amount_msat,fee_credit_msat,mining_fee_sat,service_fee_msat,payment_hash,tx_id
2024-03-19T21:55:49.133Z,462f75bf-f2bd-454c-bd1f-28f3524bc6c5,lightning_received,500000,0,0,0,462f75bff2bd054c7d1f28f3524bc6c5e1022f36369d4e0a35324674fd2b6922,
2024-03-19T21:56:35.705Z,302b2b6b-08d5-431c-b577-25df219c95c8,lightning_received,500000,0,0,0,302b2b6b08d5d31cb57725df219c95c8f58214e4b4eee01dbabb089cee4c8bd8,
2024-03-19T21:58:17.505Z,97cc49ff-5f5b-41af-ac58-f5abb8d12838,lightning_received,500000,0,0,0,97cc49ff5f5ba1afac58f5abb8d12838c6e84f2f651a1e29767e6eb5ac27377a,
2024-03-19T22:00:26.384Z,66ae80fc-f036-457a-b643-c90193ca3893,lightning_received,1000,0,0,0,66ae80fcf036057af643c90193ca389306fb2034c7ea828287a2205642084535,
2024-03-19T22:08:55.405Z,9c8276b9-5bf7-4754-b481-7a5a8b8fd4f4,lightning_received,1000,0,0,0,9c8276b95bf7d754b4817a5a8b8fd4f477d9ca11bdc6e16b82cd7cb8c423856e,
2024-03-19T22:40:48.896Z,8c35237c-aa7f-4359-b9b0-2d5eb271bf15,lightning_received,500000,0,0,0,8c35237caa7fb35979b02d5eb271bf159524c22a4237b2e4cab375029762eb62,
2024-03-19T22:41:48.251Z,dae9c2e8-669f-4d72-a8bd-8c42f25532ae,lightning_received,2000,0,0,0,dae9c2e8669f8d7268bd8c42f25532ae232c698fa0612e567440d84103792115,
2024-03-19T22:43:37.109Z,a270159f-05d2-4346-af15-612357e6ea92,swap_out,-15579000,0,579,0,,eeae7f8384e2b703196405f0873d582179816ba7d27ae616cba559380ed789d2
2024-03-19T23:06:41.733Z,13cf3d19-0504-4f0c-bb3e-073e3da0ff21,channel_close,-308594000,0,0,0,,5f6cb87af4ac2ece6f4e075c1e5b7c08dcb65046ef6baf497cb2774c52a9db50
2024-03-19T22:45:07.577Z,204ba635-b0cd-4e7c-8604-3ade67cf11d2,fee_credit,0,503000,0,0,204ba635b0cdce7c46043ade67cf11d2f34bef65629babec29a841ec0c2341c6,
2024-03-19T22:45:24.041Z,35a74703-41ea-4dae-a5f8-dcce2afaf6f9,fee_credit,0,5000000,0,0,35a7470341eaadaee5f8dcce2afaf6f9adeb7f4b49b0366ef3aa6e01aa65953f,
2024-03-19T22:45:34.652Z,458608e0-7d83-4876-ab34-9ba5cf91e4a5,fee_credit,0,5000000,0,0,458608e07d830876ab349ba5cf91e4a591d0ff278b05bef4e6b260c873e40dcb,
2024-03-19T22:45:50.721Z,2bfecd7e-2b7c-4546-b272-35b8a92b1c71,legacy_pay_to_open,219000,0,0,14781000,2bfecd7e2b7c4546f27235b8a92b1c7128a10a0cdce69cfa36c64bc40f844fb0,70db4478586b28716761db2a1850f50d84ccfbd1bfc40b1e44196992bb5e1918
2024-03-19T22:49:02.704Z,abcba1c4-f2b1-4bc2-8fad-61d32773b7b7,lightning_received,250000000,0,0,0,abcba1c4f2b10bc24fad61d32773b7b76394a7b81091667b70fe3ba383179780,
2024-03-20T01:36:08.716Z,4449228f-94f3-4755-896c-673a0b1bbbb3,lightning_received,5000000,0,0,0,4449228f94f38755096c673a0b1bbbb3d724f996c7cfbd306d8f09a7fd00e6d2,
2024-03-20T19:57:23.612Z,da0c1989-4a15-46c3-ab35-e6f2566eab8a,lightning_received,1000,0,0,0,da0c19894a1546c3eb35e6f2566eab8ac5055e6e11ebfd5fb5688dfc18bda9ce,
2024-03-21T12:43:55.882Z,cd222566-42ee-450c-97d5-11d68b861fbc,lightning_received,1000,0,0,0,cd22256642ee850c57d511d68b861fbc6d2a75495c5cf7c38873a8bc10ccfa0d,
2024-03-21T13:06:12.378Z,1dadd3aa-4353-42aa-8115-c6b1e03cdaac,lightning_received,1000000,0,0,0,1dadd3aa435372aa8115c6b1e03cdaac4b483c759423b20b9171dc026f89d327,
2024-03-22T15:01:16.603Z,857c73fd-8b41-4174-b7cf-a36f42ca19cd,lightning_received,1000000,0,0,0,857c73fd8b41e174b7cfa36f42ca19cd283d5b2d65db026ffc2fd6c6f533a61a,
2024-03-22T15:42:27.601Z,a4b4d53b-96e0-4086-9a72-6345231b8868,channel_close,-257221000,0,0,0,,eb770e1fe3e4f7f6399828447fc8aa7a8794f610d0a62084a5b6b2ad49efc9ef
2024-03-22T15:03:03.043Z,d86e5dce-6ef0-40b2-a77e-4abc66e394af,fee_credit,0,500000,0,0,d86e5dce6ef020b2677e4abc66e394af5ee279380e79ee94c7594ea387f06f8d,
2024-03-22T15:03:16.327Z,d6acf0c8-7c0a-458c-a8bf-b07b9cd1d210,legacy_pay_to_open,224403000,0,0,25597000,d6acf0c87c0a258c68bfb07b9cd1d2107534cee424bda26256c461ac7a659403,2ecce9d02d7e0b3ea428300dfc6a09bb1c7b31dc71f62973f4ad5479b4be94bb
2024-03-22T18:07:48.386Z,34abb695-d4ea-4d41-bab6-6d801294cdae,lightning_received,500000,0,0,0,34abb695d4ea9d41bab66d801294cdae94653434af5b257d81b51b629ef71afc,
2024-03-23T12:57:48.611Z,e5aabdb4-9d10-4cec-8fef-24111c66bf5b,lightning_received,100000000,0,0,0,e5aabdb49d108ceccfef24111c66bf5b54b610ab27b4b63a9c4c3b26baec9fc5,
2024-03-23T12:59:42.785Z,41738ab3-703e-4362-8a48-a56ae0ff5f82,lightning_received,5000000,0,0,0,41738ab3703e9362ca48a56ae0ff5f82339aab6e2fe909e6eb84eef75860253a,
2024-03-23T13:31:52.201Z,5a0138d5-6e62-4643-9d4d-cc187b99e392,lightning_received,500000,0,0,0,5a0138d56e62d6431d4dcc187b99e39257b58b55a8f34362586d2d0f0b59b107,
2024-03-24T03:19:48.137Z,5066b89d-03ff-4cd1-998d-78b4120aff7e,lightning_received,5510000,0,0,0,5066b89d03ff6cd1998d78b4120aff7e1b5b60fa028f94687b8574f73edc3d73,
2024-03-24T03:20:32.018Z,7202c517-ffa9-45fc-a4f2-c148f47bd69e,lightning_received,5000000,0,0,0,7202c517ffa9e5fce4f2c148f47bd69e9991358d37e6032b0068f5478388ae49,
2024-03-24T03:21:21.080Z,805732dc-9877-4f6c-94c1-e77bf86b1a93,lightning_received,5000000,0,0,0,805732dc98771f6cd4c1e77bf86b1a93faaaef089e7e7d231681265d03a717ff,
2024-03-25T10:46:04.477Z,d742793c-9e54-4342-98f6-c01d6cea4ecd,lightning_received,1000,0,0,0,d742793c9e54034258f6c01d6cea4ecd8eb99f15e413bae115eff73e2d203468,
